Due Date:,Title:,HTML:,Owner:,Location:,Scope:,Relevant,Checked,Completed
2/6/2018,['Webmaster'],http://www.louisianabids.com/bid_opportunities/2018/01/17/8355561-Webmaster.html,['Alexandria Housing Authority'],"['United States, LA']", Providing a continuing service and maintenance for our website for a one (1) year period with an option to renew for one (1) additional year.  ,nor,X,
2/7/2018,['Watershed Plan-Environmental Assessment'],http://www.utahbids.net/bid_opportunities/2018/01/18/8358082-Watershed_Plan_Environmental_Assessment.html,['Washington City Public Works Dept.'],"['United States, UT']", Provide a watershed plan-environmental assessment.  ,nor,X,
2/7/2018,['RFP - Website Redesign and Content Management System'],http://www.wyomingbids.com/bid_opportunities/2018/01/03/8323878-RFP___Website_Redesign_and_Content_Management_System.html,"['Wyoming Dept. of Administration and Information, General Services Division']","['United States, WY']"," Project consist of website redesign and content management system, including identifying  the appropriate platform for the website and recommend any licensing requirements for any appropriate platform software including providing cost estimates for s... ",nor,X,
2/8/2018,['RFP - On Call Environmental Services'],http://www.coloradobids.net/bid_opportunities/2018/01/04/8325745-RFP___On_Call_Environmental_Services.html,"['Denver Public Schools, Purchasing']","['United States, CO']", Provide environmental services for the entire district. ,nor,X,
2/8/2018,['Sanitary Sewer GIS Data Collection'],http://www.newmexicobids.com/bid_opportunities/2018/01/10/8339836-Sanitary_Sewer_GIS_Data_Collection.html,['Rio Rancho City Clerk Office'],"['United States, NM']"," The consultant shall survey, using nad83 and navd88 as the reference datums, for the location of each manhole and provide the city with a gis feature class that matches the schema of the"" manholesalreadycollected"" feature class found in attachment 2.... ",nor,X,
2/8/2018,['Wildlife Conservation Projects'],http://www.nevadabids.com/bid_opportunities/2018/01/24/8371210-Wildlife_Conservation_Projects.html,['Community Foundation of Western Nevada '],"['United States, NV']"," Grants will be awarded to projects designed to improve, protect, or restore habitat; that embrace unique opportunities for advancing the mission of wildlife conservation; and/or that address emergency organizational needs.  ",nor,X,
2/9/2018,['Research Administration Software '],http://www.ohiobids.com/bid_opportunities/2018/01/10/8339433-Research_Administration_Software_.html,"['University of Toledo, Purchasing']","['United States, OH']"," Provide the software product, data mapping and business practice support, implementation support, data conversion, documentation, ongoing maintenance/support and training for the proposed Electronic Research Administration system. ",nor,X,
2/9/2018,['TIPS MApp Web Application Design and Development'],http://www.oregonbids.com/bid_opportunities/2018/01/16/8352838-TIPS_MApp_Web_Application_Design_and_Development.html,"['University of Oregon, Purchasing and Contracting Services']","['United States, OR']"," Seeking web development services to create a new web application that will be used to improve the effectiveness and efficiency of school teams when using academic and behavioral data to help plan, conduct and track meetings using the Team Initiated P... ",nor,X,
2/12/2018,['JBMDL Grass Height Mgmt'],http://www.nebraskabids.com/bid_opportunities/2018/01/16/8352632-JBMDL_Grass_Height_Mgmt.html,"['US Army Corps of Engineers, Omaha District']","['United States, NE']", The purpose of this project is support the conservation of avian species. The Air Forceâ€™s Project PTFL18NR09 contributes to JBMDLâ€™s INRMP goals and objective 8.10.1.2 - Prevent Flocking Birds from Nesting near Airfields. Tasks under this project ... ,nor,X,
2/13/2018,['SACOG Website Maintenance'],http://www.californiabids.com/bid_opportunities/2018/01/17/8355465-SACOG_Website_Maintenance.html,['Sacramento Area Council of Government (SACOG)'],"['United States, CA']"," A website maintenance consultant. Tasks will include the following: provide routine general maintenance, monitor website, ensure website is responsive to various devices, administer a functional content management system, optimize search engine tools... ",Register Public Purchase,X,
2/13/2018,['Environmental Planning Studies'],http://www.connecticutbids.com/bid_opportunities/2018/01/20/8364617-Environmental_Planning_Studies.html,['Connecticut Dept. of Transportation'],"['United States, CT']", Environmental Planning Studies. ,nor,X,
2/13/2018,"['Request for Qualifications - Civil Engineering, Surveying and Mapping']",http://www.floridabids.net/bid_opportunities/2018/01/10/8340819-Request_for_Qualifications___Civil_Engineering__Surveying_and_Mapping.html,"['District School Board of Pasco County, Purchasing Dept.']","['United States, FL']"," Civil engineering, surveying and mapping. ",,X,
2/14/2018,['Prepare a Comprehensive Master Plan'],http://www.massbids.net/bid_opportunities/2018/01/03/8324284-Prepare_a_Comprehensive_Master_Plan.html,"['Canton, Town of']","['United States, MA']"," Prepare a comprehensive master plan for the town including such items as community vision and goals, land use, housing, economic development; natural, cultural & historic resources; open space & recreation; public services & facilities; transportatio... ",1,X,
2/14/2018,"['MGT, Species, Esa Least Tern/Snowy Plover Monitoring (Predator)']",http://www.nebraskabids.com/bid_opportunities/2018/01/19/8360675-MGT__Species__Esa_Least_Tern_Snowy_Plover_Monitoring__Predator_.html,"['US. Army Corps of Engineers, Omaha Dist, Contracting Office']","['United States, NE']"," Consultation with 30 CES/CEIEA, and biologists completing California least tern andwestern snowy plover breeding monitoring; the NFE shall conduct live trapping and relocation of raptors that threaten California least terns and Western snowy plover a... ",1,X,
2/15/2018,['RFP - Master Plan Update for Gis Project'],http://www.californiabids.com/bid_opportunities/2018/01/13/8349718-RFP___Master_Plan_Update_for_Gis_Project.html,['Contra Costa Water District'],"['United States, CA']", Develop a strategic planning framework to build and maintain reliable GIS data. Integrate GIS functionality with existing system. Evaluate GIS as an cloud based infrastructure. Develop a GIS governance model. Evaluate staff training and planning. See... ,1,X,
2/16/2018,['Public Website Re-Design and Re-Development'],http://www.nevadabids.com/bid_opportunities/2018/01/29/8384334-Public_Website_Re_Design_and_Re_Development.html,['Nevada Department of Wildlife (NDOW) '],"['United States, NV']", Public website re-design and re-development. ,1,X,
2/19/2018,['GHG Reductions to Meet City of Lafayette Goals'],http://www.coloradobids.net/bid_opportunities/2018/01/25/8374614-GHG_Reductions_to_Meet_City_of_Lafayette_Goals.html,"['Lafayette, City of']","['United States, CO']", Seeking a professional consultant to develop a road map to achieve both goals.  ,1,X,
7/31/2018,['Fiscal Year 2018 Recovery Implementation Fund Grants'],http://www.virginiabids.com/bid_opportunities/2017/12/22/8300180-Fiscal_Year_2018_Recovery_Implementation_Fund_Grants.html,['International Affairs - U.S. Fish & Wildlife Service'],"['United States, VA']"," Provides federal financial assistance on a competitive basis to states, other federal agencies, landowners, educators, non-profit organizations, researchers, and other partners to secure information about endangered, threatened or candidate species, ... ",1,X,
9/30/2018,['Partners for Fish and Wildlife'],http://www.dcbids.net/bid_opportunities/2017/10/31/8164688-Partners_for_Fish_and_Wildlife.html,[' U.S. Fish and Wildlife Service'],"['United States, DC']"," The Partners for Fish and Wildlife (PFW) Program is a voluntary, incentive-based program that provides direct technical assistance and financial assistance in the form of cooperative agreements to private landowners to restore and conserve fish and w... ",1,X,
9/30/2018,['Coastal'],http://www.dcbids.net/bid_opportunities/2017/11/01/8167920-Coastal.html,[' U.S. Fish and Wildlife Service'],"['United States, DC']"," The Coastal Program is a voluntary, community-based program that provides technical and financial assistance in the form of cooperative agreements to coastal communities and landowners to restore and protect fish and wildlife habitat on public and pr... ",1,X,
9/30/2018,['Professional Services in Various Facilities'],http://www.hawaiibids.net/bid_opportunities/2017/08/09/7966997-Professional_Services_in_Various_Facilities.html,"['Hawaii Dept. of Education (DOE), Procurement Office']","['United States, HI']"," Professional services in various facilities related categories under the following disciplines: architectural planning and design, landscape architecture, engineering planning and design, environmental engineering services, land surveying, project ma... ",1,X,
9/30/2018,['3D Elevation Program (3DEP)'],http://www.virginiabids.com/bid_opportunities/2017/08/18/7987243-3D_Elevation_Program__3DEP_.html,['U S Geological Survey'],"['United States, VA']", 3DEP was developed to respond to needs for high-quality topographic data and for a wide range of other three-dimensional representations of the Nation's natural and constructed features. This Broad Agency Announcement (BAA) is issued to facilitate th... ,1,X,
12/31/2019,['Term Contracts for Professional Services'],http://www.bidsalaska.com/bid_opportunities/2017/03/25/7408232-Term_Contracts_for_Professional_Services.html,"['Juneau, City and Borough of']","['United States, AK']", Provide the following professional services: Architecture; Civil Engineering; Electrical Engineering; Environmental Engineering; Land Surveying; Landscape Architecture; Mechanical Engineering; and Traffic Engineering. Qualified consultants will be in... ,1,X,
2/9/2018,['Consolidated Geospatial Platform'],http://www.northcarolinabids.com/bid_opportunities/2017/12/26/8307606-Consolidated_Geospatial_Platform.html,['Charlotte Douglas International Airport CLT Center'],"['United States, NC']"," Providing an airport Enterprise Geospatial Information System (EGIS), including a Spatial Database Management System (SDBMS), required to support compliance with Federal Aviation Administration (FAA) Part-139 Airport Geospatial Information System (AG... ",2,X,
2/13/2018,"['Species, Esa Least Tern / Snowy Plover Monitoring (Breeding Srvy)']",http://www.nebraskabids.com/bid_opportunities/2018/01/16/8352609-Species__Esa_Least_Tern___Snowy_Plover_Monitoring__Breeding_Srvy_.html,"['US Army Corps of Engineers, Omaha District']","['United States, NE']", Conduct population and breeding surveys for federally threatened western snowy plover and endangered California least tern. Field work shall be conducted through the nesting season (March 1 through September 30). The snowy plover population on base s... ,2,X,
2/14/2018,"['MGT, Species, Esa Least Tern/Snowy Plover Monitoring (Predator)']",http://www.nebraskabids.com/bid_opportunities/2018/01/19/8360675-MGT__Species__Esa_Least_Tern_Snowy_Plover_Monitoring__Predator_.html,"['US. Army Corps of Engineers, Omaha Dist, Contracting Office']","['United States, NE']"," Consultation with 30 CES/CEIEA, and biologists completing California least tern andwestern snowy plover breeding monitoring; the NFE shall conduct live trapping and relocation of raptors that threaten California least terns and Western snowy plover a... ",2,X,
2/14/2018,"['MGT, Species, Esa Least Tern/Snowy Plover Monitoring (Predator)']",http://www.nebraskabids.com/bid_opportunities/2018/01/19/8360675-MGT__Species__Esa_Least_Tern_Snowy_Plover_Monitoring__Predator_.html,"['US. Army Corps of Engineers, Omaha Dist, Contracting Office']","['United States, NE']"," Consultation with 30 CES/CEIEA, and biologists completing California least tern andwestern snowy plover breeding monitoring; the NFE shall conduct live trapping and relocation of raptors that threaten California least terns and Western snowy plover a... ",2,X,
5/7/2019,['The Application of Big Data Analytics to Drug Abuse Research (R01 Clinical Trial Optional)'],http://www.dcbids.net/bid_opportunities/2017/11/03/8172145-The_Application_of_Big_Data_Analytics_to_Drug_Abuse_Research__R01_Clinical_Trial_Optional_.html,['National Institutes of Health'],"['United States, DC']", The purpose of this FOA is to encourage the application of Big Data analytics to reveal deeper or novel insights into the biological and behavioral processes associated with substance abuse and addiction.NIDA recognizes that to accelerate progress to... ,2,X,
2/21/2018,['Fema Flood Mitigation'],http://www.coloradobids.net/bid_opportunities/2018/01/30/8386613-Fema_Flood_Mitigation.html,"['University of Colorado, Facilities Management']","['United States, CO']"," The work includes but is not limited to,earthwork, demolition, concrete, electrical, mechanical and site restoration. The project ispartially funded by a grant from the Colorado Division of Homeland Security & EmergencyManagement Hazard Mitigation Gr... ",3,X,
2/22/2018,['G Ii Lon 18 (harlan & Knox) Fmp0 13f8'],http://www.kentuckybids.com/bid_opportunities/2018/01/23/8369780-G_Ii_Lon_18__harlan___Knox__Fmp0_13f8.html,['Commonwealth of Kentucky - FAC Division of Engineering & Contract Administration'],"['United States, KY']"," Perform reclamation work on approx. 15.5 acres of mine land. The work will consist of earthwork, gradework, and revegetation of 3 bond forfeiture permits.  ",3,X,
